tweet_id,tweet_text,created_at,author_id,clean_text,sentiment
1992881131276894684,"Myntra : Flat 70-75% Off On Puma Clothing.

Men : https://t.co/sfzUH8cESz
Women : https://t.co/ZdQRFq3sxz
Girls : https://t.co/wjaLhIGidr
Boys : https://t.co/GhW38Aw1qQ

Shoes : 
Men: https://t.co/aqFfD03Wxg
Women : https://t.co/dTLR3UFwdY",2025-11-24 09:01:02+00:00,1947581749384646656,myntra flat off on puma clothing men women girls boys shoes men women,Negative
1992872068816257446,"Onitsuka tiger ORIGINAL from Japan 

Mexico 66 -https://t.co/QClEaztxDK

wts lfb ph shopee sneakers shoes nike jp south korea sale Adidas puma spill the feels daydream  pob pc svt ticket 2ne1 tix bini twice nct dream enhypen ticket right here https://t.co/shVNnisGFM",2025-11-24 08:25:01+00:00,1568109251419328516,onitsuka tiger original from japan mexico wts lfb ph shopee sneakers shoes nike jp south korea sale adidas puma spill the feels daydream pob pc svt ticket ne tix bini twice nct dream enhypen ticket right here,Positive
1992869563474530696,"Onitsuka tiger ORIGINAL from Japan 

Mexico 66 -https://t.co/L3PcsdoUcE

wts lfb ph shopee sneakers shoes nike jp Adidas puma spill the feels daydream  pob pc svt 2ne1 tix bini twice nct dream enhypen right here deadline tour in bulacan day 1 2 ticket vip https://t.co/RYJSsScTtL",2025-11-24 08:15:04+00:00,1568109251419328516,onitsuka tiger original from japan mexico wts lfb ph shopee sneakers shoes nike jp adidas puma spill the feels daydream pob pc svt ne tix bini twice nct dream enhypen right here deadline tour in bulacan day ticket vip,Positive
1992859486466256991,"(Pasabuy) Onitsuka tiger ORIGINAL from Japan 

Mexico 66 -https://t.co/vQmYTaG3nJ

wts lfb ph shopee sneakers shoes nike jp south korea sale Adidas puma spill the feels daydream  pob pc svt ticket 2ne1 tix bini twice nct dream enhypen ticket right here tif this is for https://t.co/CB1Zc7B0DT",2025-11-24 07:35:01+00:00,1255918492206784513,pasabuy onitsuka tiger original from japan mexico wts lfb ph shopee sneakers shoes nike jp south korea sale adidas puma spill the feels daydream pob pc svt ticket ne tix bini twice nct dream enhypen ticket right here tif this is for,Positive
1992852459824595288,"Puma Unisex Adult Sneaker
Black colour 

https://t.co/EgiYTJXtac",2025-11-24 07:07:06+00:00,1678243040488751105,puma unisex adult sneaker black colour,Negative
1992847091895620070,"DEAL ALERT! PUMA Tazon 6 FM Shoes 52% OFF at just $33.76 (was $70) 🔥 Cushioned support, sleek design, perfect for running &amp; gym. Limited time on Amazon! Link in replies 👇 #PUMADeals #ShoeSale #Deals https://t.co/p0Mp7a315K",2025-11-24 06:45:46+00:00,1963504886081097732,deal alert puma tazon fm shoes off at just was cushioned support sleek design perfect for running amp gym limited time on amazon link in replies,Positive
1992837088291500260,"(Pasabuy) Onitsuka tiger ORIGINAL from Japan 

Mexico 66 -https://t.co/W6tABhJwe5

wts lfb ph shopee sneakers shoes nike jp south korea sale Adidas puma spill the feels daydream  pob pc svt ticket 2ne1 tix bini twice nct dream enhypen ticket right here tif this is for https://t.co/KtwROauhVo",2025-11-24 06:06:01+00:00,1058334930,pasabuy onitsuka tiger original from japan mexico wts lfb ph shopee sneakers shoes nike jp south korea sale adidas puma spill the feels daydream pob pc svt ticket ne tix bini twice nct dream enhypen ticket right here tif this is for,Positive
1992829287037120902,"(Pasabuy) Onitsuka tiger ORIGINAL from Japan 

Mexico 66 -https://t.co/e2LfjjFIeu

wts lfb ph shopee sneakers shoes nike jp Adidas puma spill the feels daydream  pob pc svt ticket 2ne1 tix bini twice nct dream enhypen ticket right here https://t.co/2rn83Yf9ia",2025-11-24 05:35:01+00:00,2975466548,pasabuy onitsuka tiger original from japan mexico wts lfb ph shopee sneakers shoes nike jp adidas puma spill the feels daydream pob pc svt ticket ne tix bini twice nct dream enhypen ticket right here,Positive
1992826105032536154,"Reebok, Adidas &amp; Puma Footware Starts at  ₹659.

Men : https://t.co/MvOdrg8zhb
Women : https://t.co/ohTfC0Pl17

[ New Stock ] Flat 75% Off On Skechers Shoes. 

Women : https://t.co/dBTkHV0zBj
Men : https://t.co/3z8l5LFdiO

#DealsTodayIndia",2025-11-24 05:22:23+00:00,1431897426839834630,reebok adidas amp puma footware starts at men women new stock flat off on skechers shoes women men,Positive
1992823400872743162,"Don’t wait! PUMA Black Friday Sale India is almost here. Huge savings on your favorite shoes, clothes &amp; gear. Grab the deals 👉 https://t.co/cBIJUs0syh #PUMABlackFriday #BlackFridaySale #BlackFriday2025 #BlackFridaySaleIndia #BlackFridaySale2025",2025-11-24 05:11:38+00:00,1682301899251531776,dont wait puma black friday sale india is almost here huge savings on your favorite shoes clothes amp gear grab the deals,Positive
1992814188121473357,"(Pasabuy) Onitsuka tiger ORIGINAL from Japan 

Mexico 66 -https://t.co/e2LfjjFIeu

wts lfb ph shopee sneakers shoes nike jp south korea sale Adidas puma spill the feels daydream  pob pc svt ticket 2ne1 tix bini twice nct dream enhypen ticket right here https://t.co/iN7njFOERy",2025-11-24 04:35:01+00:00,2975466548,pasabuy onitsuka tiger original from japan mexico wts lfb ph shopee sneakers shoes nike jp south korea sale adidas puma spill the feels daydream pob pc svt ticket ne tix bini twice nct dream enhypen ticket right here,Positive
1992804724144525602,"Myntra : Flat 70-75% Off On Puma Clothing.

Men's : https://t.co/UunI8sanhV
Women's : https://t.co/clg9BGHcVd
Girls : https://t.co/1TMUuFV9Wl
Boys : https://t.co/gkOCx7Fk31

Shoes : 
Men: https://t.co/qfbkpEXCfx
Women's : https://t.co/ygeHa6Olaf

#Myntra #Puma #Clothing #Shoes https://t.co/u65G0sYUJk",2025-11-24 03:57:25+00:00,1932121823849975808,myntra flat off on puma clothing mens womens girls boys shoes men womens,Negative
